fecha,prediccion
2026-03-10,98.6
2026-03-11,95.9
2026-03-12,94.2
2026-03-13,104.9
2026-03-14,71.3
2026-03-16,103.9
2026-03-17,96.7
2026-03-18,97.0
2026-03-19,93.7
2026-03-20,102.4
2026-03-21,71.3
2026-03-23,91.5
2026-03-24,98.2
2026-03-25,94.7
2026-03-26,92.9
2026-03-27,103.1
2026-03-28,71.2
2026-03-30,105.6
2026-03-31,111.0
2026-04-01,108.3
2026-04-02,93.4
2026-04-03,103.2
2026-04-04,71.4
2026-04-06,93.5
2026-04-07,99.0
2026-04-08,97.6
2026-04-09,96.1
2026-04-10,103.8
2026-04-11,72.8
2026-04-13,93.2
2026-04-14,99.0
2026-04-15,108.5
2026-04-16,106.1
2026-04-17,103.2
2026-04-18,71.3
2026-05-15,111.1
2026-05-16,108.6
2026-05-17,105.7
2026-05-18,73.8
